url,Tweet content,Language code (e.g. 'id' for Indonesian),Number of likes,Number of retweets,Number of replies,Number of quote tweets,Timestamp of the tweet,Unique tweet ID,Unique user ID,Twitter handle,Display name,User bio,Time Extracted
https://x.com/qepo_s/status/1755516456048250988,"Coba lamar aja. Dan juga backend bukan sekedar menguasai bahasa pemrograman A B C, yg penting ngerti apa itu backend.

Kalau nanti mulainya dari Junior atau apa, tergantung kebijakan perusahaan setelah menilai kamu dalam interview.

https://t.co/U1cFhpXAkk https://t.co/InWi1qTuzn",in,4,0,0,0,Mon Jan 30 12:25:15 +0000 2012,1.75552E+18,478563619,qepo_s,Taufiq S,Software Engineer. Chelsea fan. Gamer. My opinions are my own.,2025:09:05 17:39:57
https://x.com/TomaconR59297/status/1814016773467132137,"Sedangkan minat saya adanya di pemrograman bagian backend, basis data, computer network. Bahkan saya sudah mempelajari ilmu² tsb sejak masih smp dan sma, saya juga mempunyai keinginan untuk menjadi ai engineer ataupun cyber security dimasa depan. Apakah jurusan sistem informasi",in,0,0,2,0,Mon Feb 19 19:05:17 +0000 2024,1.81402E+18,1.75966E+18,TomaconR59297,Tomacon Run,,2025:09:05 17:39:57
https://x.com/bigbubblegvm/status/1893732622813090037,"Ini projek tugas akhir berat di pemrograman (mikro, backend+frontend), algoritma PID, elektronika. Pemrograman yang paling berat (mungkin) karena ga boleh pake library, semua manual *aku gatau bakalan berapa baris code, mungkin ribuan. Cetak pcb sendiri untuk minsys nya. Gokilll",in,0,0,0,0,Tue Dec 13 18:15:33 +0000 2022,1.89373E+18,1.60273E+18,bigbubblegvm,mal,"hoping the world will be a better, more peaceful place.",2025:09:05 17:39:57
https://x.com/Shiroooru/status/1908790519125467167,"@worksfess Indonesia beneran ga baik - baik aja. 

Jadi backend dev tuh susah, butuh waktu untuk bisa develop skillnya. Proses panjang dan ga mudah supaya dapet logika nulis kode dan bahasa pemrograman beragam dan selalu harus update trend di industri. Jadi ya ga segini juga gajinya 😭",in,159,1,1,0,Sun Aug 25 15:03:12 +0000 2024,1.2446E+18,1.82772E+18,Shiroooru,Shiroo,Hi there,2025:09:05 17:39:57
https://x.com/Pratham786/status/1958161562088493326,"@piyushgarg_dev Sir frontend ka best course btao 
GenAI with JS Batch se hu Frontend acha nahi hai mera bilkul any tips ye kaisa 2 din mai itna acha frontend kr le rahe hai 🫠",in,0,0,0,0,Sat Sep 09 17:03:33 +0000 2017,1.43981E+18,9.06564E+17,Pratham786,Prathamesh Adinawar,,2025:09:05 17:39:57
https://x.com/sanaguweb/status/1958776110831083936,"@anon_codex nilichelew kuona hii kama nafs ipo naomba. ni fit web design, naweza kufanya website customization lakini poa niko familiar na WordPress, najua kubuy domain na ku connect na hosting pia nauelewa wa SEO, kwa kifupi ni na basics ya website dev kwa upande wa frontend",in,2,0,1,0,Thu Jan 23 11:58:04 +0000 2020,1.13655E+18,1.22031E+18,sanaguweb,Sanagu,Lawyer | Human right defender| legal content creator | Researcher,2025:09:05 17:39:57
https://x.com/bobohokontz/status/1958793075821879471,"kok orang-orang baru nganu sesuatu sedikit tiba-tiba berani buka kelas, buka konsul ya. 

apa ga ngeri advisnya 😅",in,11846,1392,217,334,Sat Aug 12 23:35:39 +0000 2023,1.9585E+18,89326335,bobohokontz,Boboho,cuman hidup.,2025:09:05 17:39:57
https://x.com/mikomikamilo/status/1959645319203103088,"@amatugutama @lucywiryono Artikel itu ttp sj tdk mbuktikan asumsi mu sblmx bhw ducati mlkukn pngembangn hax u/ MM. Bhkn dtulis mesin brbda sisax ttp sama. PB hax khilangn feeling frontend, n ini trkait geometri motor, sdngkn geometri mtr ga brubah, malah di artikel dtulis trkait new sasis yg sempat dcoba.",in,0,0,0,0,Thu Nov 15 14:42:08 +0000 2018,745468778,1.06308E+18,mikomikamilo,Miko,INFJ-T | Grow in Silence,2025:09:05 17:39:57
https://x.com/himmwel/status/1959912387802431892,@collegemfs aku nder tp aku blm yudisium si tp pas habis sidang ntah itu sblm sidang namaku gaada tp tmn sender ada trs nanya sm sekretaris prodi kan dicariin yg biasanya megang akun pddikti kampus katanya namaku ada udh ke sinkronisasi tp emg frontend website nya lg perbaikan krn baru,in,0,0,0,0,Mon Aug 03 10:34:00 +0000 2015,1.20401E+18,3401086887,himmwel,𝐳𝐲𝐡𝐝𝐚𝐧,𓏲ּ 🐈‍⬛🎀 𓊆ྀི tiNy shOp : +94.3 𓈈 i’m ready to take your order ⋆.˚🥛ꕀ with love &amp;.&amp; care 𓍯 shop open at: O9.OO - 24.OO ⊹ 🕯️ ₊ いらっしゃいませ! 𝜗𝜚˚⋆,2025:09:05 17:39:57
https://x.com/AllstarsAcID/status/1959926517833892348,"Saat ini, Proprietary AMMs lagi nguasain DeFi Solana! 🔥🔥🔥

Walaupun prop AMMs harus diakses lewat aggregator kayak Jupiter dan gak punya frontend publik kaya Radium dan Orca, tapi mereka lagi nunjukin dominasinya di market DeFi! 🤯
Siapa aja DEX yang lagi hype ini? Check it",in,3,1,1,0,Tue Feb 25 12:28:51 +0000 2025,1.95993E+18,1.89436E+18,AllstarsAcID,Allstars Academy Indonesia,Komunitas untuk belajar dan ngobrolin Web3! 🤝 | 🌏: @AllstarsAC,2025:09:05 17:39:57
https://x.com/zuhriyansauqi/status/1960247506811359343,"@sbyfess Javascript dulu aja nder. Ini bisa buat belajar kemana-mana, frontend, backend, mobile. Channel https://t.co/mtmJKIoMWC isinya daging semua sih, tapi kalo nyari yang bahasa indo juga banyak di YouTube. Dan kalo bingung bisa manfaatin ChatGPT, atau Claude ai nder.",in,0,0,0,0,Wed Jan 06 01:58:03 +0000 2010,1.15244E+18,102237192,zuhriyansauqi,Ryan,A senior software engineer who runs on coffee. All about pushing tech to the max while sipping on the perfect brew. Code and caffeine? It's my life.,2025:09:05 17:39:57
https://x.com/BagasN7/status/1960514294581485638,"Ini maksudnya kalo mau jadi dev kan?
• Fundamental Algoritma Pemrograman 
• Fundamental bahasa yg mau dipakai (beda-beda sesuai mau incar role apa)
• Coding pakai AI
• Cloud dan infrastruktur nya (entah AWS, GCP, Azure ataupun cloud lainnya)
• Struktur Data https://t.co/3txMCoOSbo",in,47,10,0,1,Sun Oct 10 02:32:23 +0000 2010,1.96025E+18,200727478,BagasN7,Bagas Naufal Insani,Remote 🇺🇸 software developer who likes to: share my experience 💼  | be cat bros 🐈 | play video games 🎮 | read tech news 💻 | support AC Milan 🔴⚫️,2025:09:05 17:39:57
https://x.com/DeeGeeDow/status/1960908329036980700,did u guys know in 2023 aoki hina hinapiyo of mygo and siegfeld junior high fame sang umapyoi densetsu on tiktok live and said she wanted to be in umamusume. i'm posting this to manifest it happening for real soon https://t.co/wsqTFqeNXg,en,2022,353,4,25,Sat Jan 11 13:23:00 +0000 2014,1.96075E+18,1.50193E+18,DeeGeeDow,Queen of Chupakabura,"currently into some animes, bandori, maimai, uma musume",2025:09:05 17:39:57
https://x.com/txtdarinavy/status/1962710376698781753,"Kalo cuma handle mobile masih bisa aku maklumi, tapi skrg lagi diminta handle frontend web jg dan kadang kalo lagi butuh api tapi tim be nya overload jg diminta bantu biar api yg dibutuhkan cepat kelar... segini banyak cuma 8 jt jujur kureng, bukannya gak bersyukur 😔🙏",in,0,0,0,0,Sun Jun 30 23:33:54 +0000 2019,1.96271E+18,1.14548E+18,txtdarinavy,✨️Navy✨,"Mostly talked about #RocketPunch #로켓펀치, but I also love #IU #Twice #Aespa and anime! Random acc, bear with it or unfollow!",2025:09:05 17:39:57
https://x.com/fujimoto2001/status/1963765139196277084,"Untuk role sy skrg. Sy udh pindah ke Backend Software Engineer. Karna kurang menantang di frontend.

Skrg udh 4 thn kerja di kantor yg sama sebagai Backend",in,1,0,0,0,Tue Dec 17 16:49:03 +0000 2024,1.96377E+18,1.86906E+18,fujimoto2001,Jefferson | 藤本(Fujimoto),"Coding since 13y/o, 24y/o, Half 🇯🇵🇰🇷・Sr. Software Engineer(Backend)・Polygot😬・BSc (CompScience)・MSc (Engineering Physics & EE)・Certified JLPT N1 & TOPIK 5",2025:09:05 17:39:57
https://x.com/GoldfishUnc/status/1963606309997343152,"@BilliBear3 @SimpletonED Ada. Mesti pakai Bahasa Melayu.

Tak boleh pakai bahasa asing macam C#, C++, JAVA, entah apa ular sawah...semua tak boleh.",in,17,0,2,0,Fri Dec 28 04:08:02 +0000 2018,1.25981E+18,1.0785E+18,GoldfishUnc,Goldfish,"The dildo of consequences rarely arrives lubed.
Prihatin Rakyat: Darurat Memerangi Covid-19

Jumping ship: https://t.co/td6oacnbdw",2025:09:05 17:39:57
https://x.com/vkfstoraus/status/1963661968231092693,"hallo gaiis, aku mau wts tiket 
- The Conjuring : Last Rites (IMAX 2D), 
- seat E15:14
- additional order : popcorn, java tea

seat udh inceran bgt, cemilannya udh fav bgt, yuk gais dibeli, alesan di wts soalnya salah tgl beli dan di tgl segitu harus udh keluar kota🥲, minat dm y https://t.co/NB1OSen1T4",in,0,0,1,0,Sun Oct 24 06:45:58 +0000 2021,1.96366E+18,1.45216E+18,vkfstoraus,ha🌛,useless huh?,2025:09:05 17:39:57
https://x.com/pollyseaw/status/1963775608602902812,"🤖 stuck sama coding yang bikin pusing? aku bisa jadi solusi 

t. berbagai tugas seperti pengembangan website, aplikasi, database (MySQL, Oracle, MongoDB), pemodelan AI/ML, desain Figma, pemrograman Python, Java, C++, hingga machine learning. dijamin lebih gampang dan jelas 10",in,0,0,0,0,Sun Jan 10 09:18:07 +0000 2016,1.96378E+18,4737577334,pollyseaw,𝒿𝑒𝒽𝒶 ᥫ᭡ joki essay desain poster infografis,"holla-! proof? testi? silahkan kunjungi ✈︎ @thisjualjasa ꩜ .ᐟ 
📩 🐾",2025:09:05 17:39:57
https://x.com/txtnurcahyo/status/1943946557700943987,"Bikin animasi gak perlu install software banyak2. Cukup AI kaya chatgpt/DeepSeek sama html/javascript editor kaya ACode.

Promptnya seperti:
can you generate one page javascript for simple 3d animation like earth rotation?

Copy codenya ke ACode, jalanin hasilnya seperti ini: https://t.co/9lS0l5obSx",in,4,0,1,0,Wed Oct 18 18:39:12 +0000 2017,1.94395E+18,9.20721E+17,txtnurcahyo,Wahyu Nurcahyo 🇮🇩 🇩🇪,"Software Developer, tweet teknologi, fotografi, art, pendidikan, kehidupan di Jerman.
#jogja #surabaya #bali #jakarta #jerman",2025:09:05 17:39:57
https://x.com/txtnurcahyo/status/1944231048084435197,"Sketsa menjadi aplikasi animasi pun bisa ternyata dengan AI. Image to Javascript.

Untuk pembelajaran animasi lebih memudahkan. Kita bisa sketsa misalnya hubungan lingkaran dan gelombang sinus. Upload di chatGpt lalu kasih perintah bikin single page javascript.

Hasilnya top bgt! https://t.co/EZueV9ziYo",in,0,0,1,0,Wed Oct 18 18:39:12 +0000 2017,1.94423E+18,9.20721E+17,txtnurcahyo,Wahyu Nurcahyo 🇮🇩 🇩🇪,"Software Developer, tweet teknologi, fotografi, art, pendidikan, kehidupan di Jerman.
#jogja #surabaya #bali #jakarta #jerman",2025:09:05 17:39:57
